Gene.symbol	Gene.ID	adj.P.Val	logFC
TEX2	55852	1.19645246485317e-14	1.33064840572109
MGST1	4257	1.30017322269313e-14	3.55908251756917
RAD51	5888	1.3189352914565e-14	1.84846904998753
ADAM19	8728	1.38923846433641e-14	-2.70379740020294
KCTD7	154881	1.38923846433641e-14	-1.80992584584354
TRIM62	55223	1.44834043703415e-14	-1.01089374266327
ISG20	3669	1.69247525944624e-14	-2.03493521070521
SMIM3	85027	1.92820249673e-14	2.36945847277325
XRCC2	7516	2.10056650944447e-14	2.23132431801814
MSRB3	253827	2.11870493064163e-14	3.33957525768254
RRM2	6241	2.28526614403449e-14	2.11699722487642
HMGB3	3149	2.31623457471606e-14	1.77049704193084
WDHD1	11169	2.35068796875539e-14	2.22210068474604
NUCB2	4925	2.40960884148834e-14	2.06134543418594
NCAPH	23397	2.94903951890972e-14	1.93840420835828
GON4L	54856	2.94903951890972e-14	-0.859314804987529
HPRT1	3251	3.1227900728715e-14	1.51849684956577
NUSAP1	51203	3.1227900728715e-14	2.19594652683333
B4GALT6	9331	3.49334788810405e-14	2.86674268376191
IQCJ-SCHIP1///SCHIP1	100505385///29970	3.49334788810405e-14	2.98840263598186
GINS1	9837	3.52103203959921e-14	2.30885823746826
BUB1	699	3.67111534723579e-14	2.24992873509977
RAB11FIP4	84440	3.75247009294647e-14	-1.99885479313605
GVINP1	387751	4.39856412144632e-14	-2.67165897819841
TM7SF3	51768	4.40424298422413e-14	1.41015124526757
SLC7A5	8140	4.40424298422413e-14	1.7937844524025
IFT122	55764	4.46770397309706e-14	1.20053715837982
AHCY	191	5.63409007184173e-14	1.4718485514025
CHAF1A	10036	5.76417968497251e-14	1.34234274213152
HACD1	9200	5.80918648903392e-14	2.43456299142517
RFC3	5983	5.88119151894221e-14	1.62063597049773
TECPR1	25851	6.31804863516659e-14	-1.00540277742857
SNORD52	26797	6.54748379061307e-14	1.88990420896146
KIF15	56992	6.77120563707352e-14	1.96828328974604
CPA3	1359	7.51873583576408e-14	3.55737886008617
NET1	10276	7.73818889534234e-14	2.20809744878912
MRC1	4360	8.13108189582759e-14	3.04859703215193
CCZ1B///CCZ1	221960///51622	8.93289027510105e-14	-1.63176257154535
CPT1A	1374	8.96625840053727e-14	1.85151074868481
MAML2///MAML2	84441///84441	9.82090210746687e-14	-3.03228845008163
TADA2B	93624	1.06207853518033e-13	-1.64767710249319
ERBIN	55914	1.24645563207041e-13	-1.30106296708163
LUZP1	7798	1.25107080981241e-13	1.5655106869229
DEDD2	162989	1.25672644546731e-13	-1.25681933155328
TMEM144	55314	1.38876810004547e-13	2.11011544506236
CKS1B	1163	1.42024423438511e-13	1.99998592069048
PECR	55825	1.42024423438511e-13	-2.16251306721542
RCN1	5954	1.48823278288489e-13	2.04870853658617
CDCA2	157313	1.5814427616651e-13	2.01385233865873
PRR11	55771	1.5814427616651e-13	2.11328645383447
DNMT3B	1789	1.58802064961805e-13	1.84456217686395
SEC16B	89866	1.8005902722446e-13	0.788173480212019
TNRC6C	57690	1.8973713517103e-13	-1.64153678674149
GINS2	51659	1.9279089444224e-13	1.95067830166893
CENPW	387103	1.94421575091186e-13	1.67478788504762
B3GALT4	8705	2.10136832387803e-13	-1.04411296562358
GDPD3	79153	2.10386441609628e-13	-2.20202784515986
		2.18924557059728e-13	-2.82076337907936
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	8363///8362///8363///8362	2.58105286561544e-13	1.79008121320975
PSMD1	5707	2.58775359075092e-13	1.2597136919093
HIVEP2	3097	2.60574047961718e-13	-2.51260306338209
		2.62508922705242e-13	-1.82422738337302
KIAA0355	9710	2.66185614881396e-13	-1.64764240238775
LINC01599	196913	2.69269964692058e-13	-1.52569748085374
TWSG1	57045	2.9832114775217e-13	1.79006564266667
FBXO33	254170	3.32948891074395e-13	-1.32344650877211
FAM72A///FAM72D///FAM72B	729533///728833///653820	3.34569117764998e-13	2.37433039602154
HMGXB4	10042	3.41434288089012e-13	0.906493618472789
		3.51000251223757e-13	-1.43859081495125
CDCA5	113130	3.65981029714479e-13	1.34154195079025
EXOC8	149371	3.66797447736903e-13	-1.07100731338776
HJURP	55355	3.95330430970008e-13	1.78662754098526
ECE1	1889	4.22623366375194e-13	-2.28106991356236
CEP85	64793	4.4746168739153e-13	1.29500759308164
LRP8	7804	4.52011830901961e-13	1.51025738251474
ATP1B1	481	4.87151149973429e-13	2.7184391124195
TTC22	55001	5.10402804037454e-13	-1.17530211699773
PLCL2	23228	5.20572790930181e-13	-1.89971809574036
KIAA1524	57650	5.27472404333842e-13	1.87584421784467
FAM65B	9750	5.29179831166718e-13	-2.53671656473809
C10orf11	83938	5.4224538269261e-13	2.51896990687755
NCK2	8440	5.73750950775203e-13	-1.73029364721541
UCK2	7371	6.19231775184373e-13	2.03679623972789
WT1	7490	6.50508604668142e-13	1.93883133012359
TFPI	7035	6.51705481470174e-13	3.73332428403401
HELLS	3070	6.52431254051725e-13	2.03768199983334
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	6.53432841219993e-13	2.12569820585374
PPP2R5C	5527	6.62551935826136e-13	-1.78094679972562
EZH2	2146	6.71349422151947e-13	1.74279002396599
GIN1	54826	6.92517002506029e-13	-1.6736672628322
ITGA9	3680	6.92783208440719e-13	2.63793711892744
KIFC1	3833	7.16887547810689e-13	1.77754236941043
		7.56452238203057e-13	2.28704996764853
H2AFY	9555	7.63433316512281e-13	1.44378517851702
SYNE2	23224	8.31822245138282e-13	-3.1322003497415
GSS	2937	8.36275790038978e-13	1.44232199066894
MLEC	9761	8.72005282554581e-13	1.28869866658163
NME1-NME2///NME1	654364///4830	9.16479367088939e-13	2.39566283855556
LIMD2	80774	9.39049113452626e-13	-1.10783981629025
GATA2	2624	9.39872890500406e-13	2.0773805972517
RRM1	6240	9.41929609123675e-13	1.71515937662925
PLA2G4A	5321	1.02193013696775e-12	2.53690689356916
ANGPT1	284	1.1099022252925e-12	2.96306563134694
ORC6	23594	1.21733372493819e-12	1.32120043146599
ZHX2	22882	1.22078996757393e-12	-1.92068477258617
		1.22078996757393e-12	1.12460044675964
HOXB3	3213	1.24290427611305e-12	1.89430244640363
ZNF652	22834	1.24290427611305e-12	-1.51819306360884
PPM1M	132160	1.24530858844384e-12	-1.40724464256349
CDK2	1017	1.27391212289401e-12	1.38698773671655
CDK5R1	8851	1.37962876916576e-12	-1.03727353760431
MAP7	9053	1.37962876916576e-12	2.07380500496372
MTHFD1L	25902	1.39886688748701e-12	1.19899460010091
ZBTB38	253461	1.52770964844252e-12	-1.98596424552607
RAD54L	8438	1.54476361041067e-12	1.36294764787755
HSP90AA1	3320	1.71026179948728e-12	1.1642257776848
CYB561D1	284613	1.77619988882182e-12	-1.12744180403742
STEAP3	55240	1.77622695783932e-12	1.45632606607256
MPDU1	9526	1.86737767943007e-12	1.42563371304422
SH3TC2	79628	1.87729697062638e-12	1.16210375625964
EZH1	2145	1.89878657175879e-12	-1.09983766057823
PSMD14	10213	2.69281110052813e-12	1.84568400004875
TNFRSF14	8764	2.73572672856594e-12	-1.24890364181745
CERS6	253782	2.88775294051846e-12	1.49213443320182
		3.22899922870428e-12	-0.970074139055551
HDGF	3068	3.25370339346237e-12	1.04214101432313
CDKN1B	1027	3.30886508579248e-12	-1.35645694117687
CHAF1B	8208	3.31955384147707e-12	1.60222509036621
AKR1C3	8644	3.49182216110863e-12	3.35897752504989
PACS1	55690	3.49182216110863e-12	-1.50794426631859
TBC1D10A	83874	3.49821638417504e-12	-1.24669711735374
TEC	7006	3.63979755934433e-12	2.43482497904988
C11orf74	119710	3.71458489898006e-12	1.78000408065533
P2RY10	27334	3.73295078982155e-12	-3.9154159548424
TPSB2///TPSD1///TPSAB1	64499///23430///7177	3.77422289577984e-12	1.74005668405896
C7orf43	55262	3.77857248456852e-12	-1.05572244869614
STAR	6770	3.92869825237782e-12	1.67213218717574
MIR221	407006	4.00814926992402e-12	2.52216713421089
ESPL1	9700	4.00814926992402e-12	1.41250390977325
SPNS2	124976	4.07593211412422e-12	1.58351259720748
P4HB	5034	4.11376740874844e-12	1.25103592394104
PNP	4860	4.19264125800934e-12	2.30127284865533
STK26	51765	4.32052621692071e-12	0.832070857937646
CAPN11	11131	4.32052621692071e-12	1.105277305661
GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP///ULK4P1///CHRFAM7A	728047///653720///653125///653075///653073///643699///283796///89838///89832	4.72126728674887e-12	1.69962692539569
E2F8	79733	4.74033831450188e-12	1.9010772319025
CCM2	83605	4.78286280789306e-12	-1.22191045064058
AUNIP	79000	5.22796001419778e-12	1.29248839194785
GPR155	151556	5.70594194476462e-12	-2.97689855293424
TEX30	93081	5.81307757765493e-12	1.66368339228231
		5.82957667337683e-12	1.25507261377778
AKNA	80709	6.21514753527127e-12	-1.14006338994218
TM4SF1	4071	6.27054649881036e-12	2.46197752621428
NUP93	9688	6.27054649881036e-12	0.879312534292518
CPSF3	51692	6.27054649881036e-12	1.28133702863945
METTL4	64863	6.4226630425662e-12	-1.26698293452268
DPP3	10072	6.44206686671496e-12	1.30370475553515
KIF20A	10112	6.53222656028146e-12	2.37317675069274
PTBP2	58155	6.5823096362692e-12	1.26214511690136
TCP1	6950	6.61012755663613e-12	1.25233957569842
IGFLR1	79713	6.67797047785865e-12	-1.07854648129251
PPP1R2	5504	6.83757232153672e-12	-1.05858278318027
LOC728392///NLRP1	728392///22861	6.96531274480817e-12	-1.75707584907256
DHFR	1719	7.01625693420001e-12	1.42818901772335
ELANE	1991	7.3825763593961e-12	2.46212724019614
PANK4	55229	7.82726102575106e-12	-0.948928983804986
S1PR4	8698	7.89759826454712e-12	-1.84903891764966
GUSB	2990	7.97839713946591e-12	1.34113647206917
RAB13	5872	8.05241536001324e-12	2.39548287940477
RGS14	10636	8.06088472359696e-12	-1.12695988965873
LTBP1	4052	8.0844626898722e-12	2.46006516774943
EIF5AL1///EIF5A	143244///1984	8.41314020050326e-12	1.35431553607483
RINL	126432	8.79554919644397e-12	-0.854585730795915
GRK5	2869	8.79554919644397e-12	-2.29230350931859
		9.26843333382613e-12	-1.23858599838888
SDC4///ROS1	6385///6098	9.60449848552812e-12	1.57375512278798
MCM6	4175	9.8464401811832e-12	2.26970566370295
MAST3	23031	1.06259016179294e-11	-1.54155364659297
ZBTB18	10472	1.14733009297649e-11	-1.62807635476757
SPC24	147841	1.16658768516709e-11	1.57152470454648
LARP1B	55132	1.20534220745558e-11	1.1966271389966
		1.21094044199651e-11	1.39065704031066
FAM234A	83986	1.2594220997847e-11	0.815924609741495
STON2	85439	1.27107913969397e-11	2.45221377557823
TICRR	90381	1.27329723235853e-11	1.84931753459524
COMT	1312	1.30053761149003e-11	1.36219485055669
WHSC1	7468	1.31232253776402e-11	1.1608345180737
ANKZF1	55139	1.32289076802087e-11	-0.974920242734693
MAPK13	5603	1.46665980272212e-11	-1.9865751398322
SLC39A11	201266	1.50739662711518e-11	1.33794353134468
LMNA	4000	1.5575946619563e-11	1.57332972708277
BAIAP3	8938	1.5575946619563e-11	-1.1960724270975
CHD1L	9557	1.63916630764341e-11	1.82543320631746
HIST2H2AB///HIST2H2AB	317772///317772	1.64028033046383e-11	1.39651406380159
POLE2	5427	1.64252449160486e-11	1.71866472552948
BIRC5	332	1.67176778399708e-11	1.3871809408254
		1.70339333661592e-11	0.932925694730161
CTSG	1511	1.78209390262885e-11	3.30185340424944
WDR41	55255	1.78209390262885e-11	1.62073995873923
MAP3K14	9020	1.80025047469548e-11	-0.914480476004534
NCAPG2	54892	1.80313490207219e-11	1.7454433012347
PRUNE1	58497	1.80478657334058e-11	-1.39801888115079
MECP2	4204	1.80478657334058e-11	-1.02691718263832
ZNF24	7572	1.85755069581463e-11	-0.838763763081632
EIF5AL1///EIF5A	143244///1984	1.89921402056335e-11	1.64859779235714
		1.93288337581777e-11	1.16788854695465
FANCA	2175	1.94344657848619e-11	1.16576626980499
MMP2	4313	1.95328176799709e-11	1.7459656328288
CNNM3	26505	1.9888972253018e-11	-0.867533643808389
GNL2	29889	1.99473117752967e-11	1.17925576955669
HSPA5	3309	2.06499691334615e-11	1.11650609820182
SLC37A3	84255	2.17640224873191e-11	-2.25432798813038
		2.17640224873191e-11	1.74094858269161
HPGDS	27306	2.29697995203441e-11	2.94246814301928
HCP5	10866	2.46308926962817e-11	-2.1242284256712
SLC4A1	6521	2.67804960171837e-11	2.92151844780045
TUSC2	11334	2.73193096710979e-11	-0.744456330701814
CDKN2C	1031	2.85642471986637e-11	1.44171884853061
PRELID2	153768	3.04030655368019e-11	2.37150206776191
ISCU	23479	3.05765600565668e-11	-0.975086078721086
GCSHP3///LOC729080///LOC641746///GCSH	100329109///729080///641746///2653	3.05765600565668e-11	1.33816277267007
TIRAP	114609	3.06707204840862e-11	-1.32100022000454
GOLIM4	27333	3.09137154958528e-11	2.78840746111565
MIRLET7G	406890	3.09137154958528e-11	-1.91375796513039
FCMR	9214	3.12943424607997e-11	-3.1385934638322
ARHGAP11B	89839	3.35957707584566e-11	2.12529265304195
YPEL3	83719	3.43301637124089e-11	-1.61185730106689
ENO1	2023	3.43301637124089e-11	1.40396178195466
GAPDH	2597	3.4730918340581e-11	0.766454617074832
ZFP36L1	677	3.4730918340581e-11	-2.42089885633334
PCCB	5096	3.51028108219567e-11	1.5023567188288
		3.73173442417992e-11	1.50956473161338
SCARB1	949	3.74447145952092e-11	1.50875737345465
MIA3	375056	3.74453100273184e-11	-0.748083708207482
TOM1L1	10040	3.75814523678257e-11	2.2119411952551
AK2	204	3.86508352933477e-11	1.11943350592178
ZBTB24	9841	3.90057466886582e-11	-1.28715316079819
CALR	811	3.92853914173311e-11	1.28391519602948
ZDHHC9	51114	3.9345308711968e-11	1.56236722210884
NRIP3	56675	3.95544167755585e-11	1.88852797698299
ZNF660	285349	3.96173703674554e-11	2.01668654406236
MICALL2	79778	4.01746523306639e-11	0.941368067092973
WEE1	7465	4.15021260083172e-11	2.28728376952495
CAPN7	23473	4.25514015296383e-11	-0.891350280769839
EXTL2	2135	4.29848633854803e-11	1.61211936384241
NT5DC3	51559	4.34928140247223e-11	1.63980311444218
C3orf80	401097	4.56502645001507e-11	1.90761608144671
SCML2	10389	4.64960327972302e-11	2.73607206330613
SP110	3431	4.72668966267978e-11	-1.93830088385147
ACACA	31	5.03505869337584e-11	1.53741406582994
WDR12	55759	5.04945931478934e-11	1.8951509320839
LOC100130744	100130744	5.33673793218087e-11	-1.15259168088208
HDAC2	3066	5.70033094745498e-11	0.880996475849206
		5.70107774606534e-11	-1.67787920018367
PAICS	10606	6.07786285434798e-11	2.01407032773924
RNF167	26001	6.4307413739918e-11	-0.953371509044215
CA1	759	6.85775604226536e-11	4.0873061195635
PLTP	5360	6.85775604226536e-11	2.09153848252834
DSCC1	79075	6.86080584201584e-11	1.54633170797619
C7orf26	79034	6.86080584201584e-11	-0.768018273727892
KNL1	57082	7.1591759964782e-11	1.97556314109411
ZNF862	643641	7.18167009283163e-11	-1.04301448318141
RNF220	55182	7.30571500575823e-11	1.72823520442177
PTX3	5806	7.35206572830177e-11	2.2632865060068
KIAA1324	57535	7.35206572830177e-11	-2.86807449707823
ATP13A3	79572	7.37733177679577e-11	1.18665510316213
SHISA5	51246	7.40940648502019e-11	-1.32931349563832
		7.53784579361952e-11	0.906059330819728
		7.80753045245e-11	1.24010592833107
P2RY1	5028	7.88255634313047e-11	1.45152471845125
		7.94075898164770e-11	-1.64013117589002
PNKD	25953	8.07916593929276e-11	1.1989797565
SIN3B	23309	8.43034656938594e-11	-0.716481592156458
ANKRD28	23243	8.52819825175247e-11	1.97999185488549
OCRL	4952	8.57152244252565e-11	1.59056031735034
TNRC6B	23112	8.71194513577659e-11	-0.832028570359409
PARPBP	55010	8.72541431305413e-11	1.58231573730385
SH2D3A	10045	8.73453635212885e-11	-1.0643351484195
FUT4	2526	8.73453635212885e-11	1.15681215342744
HMMR	3161	8.79810875266067e-11	1.78650653243198
PHF1	5252	8.96371330881877e-11	-1.2994276499297
SYNE1	23345	9.09051055814866e-11	-1.76160379696485
INTS7	25896	9.2136545605505e-11	1.60086941220521
CCSER2	54462	9.50298401223039e-11	-1.24190965398639
STAB1	23166	9.86247819542772e-11	2.29600305501361
TAP2	6891	1.00877429245525e-10	-1.12547722841837
TMEM97	27346	1.00877429245525e-10	1.64084099125737
FABP5P3///FABP5	220832///2171	1.07773037565803e-10	2.18555297079252
HOXB5	3215	1.11075080561257e-10	1.26515708633334
CENPO	79172	1.19105736234721e-10	1.21773134413266
ESCO2	157570	1.19702134083399e-10	2.18599287817801
TOM1L2	146691	1.20257766914029e-10	-0.846498451752832
NIPSNAP3A	25934	1.22939928729091e-10	1.64662690552835
PARP12	64761	1.23087224728776e-10	-1.65983849209864
ERP27	121506	1.23314973842012e-10	-2.16253504862698
TARS	6897	1.23314973842012e-10	1.8561888433356
ATAD5	79915	1.26538524526074e-10	1.35574430112245
ZNF367	195828	1.26784523662755e-10	1.2149440024263
FGD3	89846	1.26784523662755e-10	-1.44419935907936
C17orf62	79415	1.28097556004151e-10	-1.00994075214626
CYP7B1	9420	1.29674196927787e-10	1.39198941717234
KIF18A	81930	1.29674196927787e-10	1.76138974078458
AIM2	9447	1.4354889883403e-10	-2.73901916538208
XKRX	402415	1.4354889883403e-10	-1.08313327561111
		1.47624982588608e-10	-1.63673947078118
STARD3	10948	1.49171579397692e-10	-0.690669309206348
C1orf186	440712	1.49171579397692e-10	2.44328734627891
CYFIP1	23191	1.61499085390735e-10	2.16909363388435
VOPP1	81552	1.634986575656e-10	-1.19252994490476
		1.63793759326406e-10	1.23682262223809
IDH1	3417	1.70586434937985e-10	1.67334756559864
YARS	8565	1.71343378672807e-10	1.27696355914626
GRIK5	2901	1.88128820931144e-10	1.75391534944105
CYFIP2	26999	1.90788357063531e-10	-1.65052718265646
ZNF394	84124	1.92360911565752e-10	-1.08486049841384
B3GALNT1	8706	1.93062831949335e-10	1.96752023587528
TNFRSF21	27242	1.93746198212416e-10	2.26066604138889
TMEM175	84286	2.05947736681871e-10	-0.942345603867345
PLXNB2	23654	2.13658462651984e-10	2.53162028295918
KCTD3	51133	2.22541392312191e-10	2.54505579981406
XPNPEP1	7511	2.22541392312191e-10	1.53332118086962
MSH5-SAPCD1///MSH5	100532732///4439	2.39844583040635e-10	1.79055786323016
GTSE1	51512	2.39844583040635e-10	1.40884696901021
ZNF217	7764	2.61020994441988e-10	-1.04566550059297
ANKRD44	91526	2.62480297674445e-10	-1.99129396085374
ZNF75D	7626	2.63704242136142e-10	-0.889813285946709
SMC2	10592	2.64011953063653e-10	1.84925693287869
TRMO	51531	2.69475018018232e-10	-1.08516094915419
